kpn,등록번호,근교계수,아비,조부,외조부,12개월체중 육종가,12개월체중 정확도,도체중 육종가,도체중 정확도,등심단면적 육종가,등심단면적 정확도,등지방두께 육종가,등지방두께 정확도,근내지방도 육종가,근내지방도 정확도,12개월체중 표준화육종가,도체중 표준화육종가,등심단면적 표준화육종가,등지방두께 표준화육종가,근내지방도 표준화육종가,체고 육종가,체고 정확도,십자부고 육종가,십자부고 정확도,체장 육종가,체장 정확도,흉심 육종가,흉심 정확도,흉폭 육종가,흉폭 정확도,요각폭 육종가,요각폭 정확도,곤폭 육종가,곤폭 정확도,좌골폭 육종가,좌골폭 정확도,고장 육종가,고장 정확도,흉위 육종가,흉위 정확도,체고 표준화육종가,십자부고 표준화육종가,체장 표준화육종가,흉심 표준화육종가,흉폭 표준화육종가,요각폭 표준화육종가,곤폭 표준화육종가,좌골폭 표준화육종가,고장 표준화육종가,흉위 표준화육종가,체고 육종가,체고 정확도,십자부고 육종가,십자부고 정확도,체장 육종가,체장 정확도,흉심 육종가,흉심 정확도,흉폭 육종가,흉폭 정확도,요각폭 육종가,요각폭 정확도,곤폭 육종가,곤폭 정확도,좌골폭 육종가,좌골폭 정확도,고장 육종가,고장 정확도,흉위 육종가,흉위 정확도,체고 표준화육종가,십자부고 표준화육종가,체장 표준화육종가,흉심 표준화육종가,흉폭 표준화육종가,요각폭 표준화육종가,곤폭 표준화육종가,좌골폭 표준화육종가,고장 표준화육종가,흉위 표준화육종가,안심중량 육종가,안심중량 정확도,등심중량 육종가,등심중량 정확도,채끝중량육종가,채끝중량정확도,목심중량 육종가,목심중량 정확도,앞다리중량 육종가,앞다리중량 정확도,우둔중량 육종가,우둔중량 정확도,설도중량 육종가,설도중량 정확도,사태중량 육종가,사태중량 정확도,양지중량 육종가,양지중량 정확도,갈비중량 육종가,갈비중량 정확도,안심중량 표준화육종가,등심중량 표준화육종가,채끝중량 표준화육종가,목심중량 표준화육종가,앞다리중량 표준화육종가,우둔중량 표준화육종가,설도중량 표준화육종가,사태중량 표준화육종가,양지중량 표준화육종가,갈비중량 표준화육종가,안심비율 육종가,안심비율 정확도,등심비율 육종가,등심비율 정확도,채끝비율 육종가,채끝비율 정확도,목심비율 육종가,목심비율 정확도,앞다리비율 육종가,앞다리비율 정확도,우둔비율 육종가,우둔비율 정확도,설도비율 육종가,설도비율 정확도,사태비율 육종가,사태비율 정확도,양지비율 육종가,양지비율 정확도,갈비비율 육종가,갈비비율 정확도,안심비율 표준화육종가,등심비율 표준화육종가,채끝비율 표준화육종가,목심비율 표준화육종가,앞다리비율  표준화육종가,우둔비율 표준화육종가,설도비율 표준화육종가,사태비율 표준화육종가,양지비율 표준화육종가,갈비비율 표준화육종가
KPN210,221107188,0.00%,KPN077,KPN032,K269,-14.5575,0.69,-15.2002,0.6,-1.2572,0.54,-1.1163,0.52,-0.2092,0.5,-1.4859,-1.0405,-0.5422,-0.6614,-0.1174,-0.74083483,0.7,-0.80067086,0.71,-1.2236,0.69,-0.4996,0.64,-0.774,0.61,-0.865,0.61,-0.9273,0.63,-1.1854,0.66,-0.7144,0.61,-1.7183,0.63,-0.4735,-0.5357,-0.8829,-0.3764,-1.2738,-1.6598,-1.4668,-1.5855,-1.7957,-0.8201,1.3535,0.53,3.0556,0.51,0.0181,0.49,-0.0756,0.43,0.1748,0.43,-0.4733,0.57,-0.4386,0.45,0.0923,0.46,0.0703,0.44,0.3104,0.47,0.6254,1.4975,-0.001,0.0678,0.3983,-0.3894,-0.3996,0.2497,0.1818,0.2349,0.0196,0.47,0.6987,0.55,0.0861,0.53,-0.1555,0.41,0.6232,0.5,0.1561,0.48,0.2002,0.51,-0.0481,0.5,-0.5364,0.47,0.4545,0.53,-0.8613,-0.8988,-0.9614,-1.0218,-0.6564,-0.7397,-0.8766,-0.9999,-1.2535,-1.0669,0.0027,0.34,0.1826,0.42,0.0231,0.29,-0.036,0.24,0.171,0.3,0.0421,0.35,0.0438,0.33,-0.0118,0.27,-0.092,0.26,0.1455,0.28,0.187,-0.0429,-0.1578,-0.3891,0.3358,0.1835,-0.0624,-0.051,-0.2764,0.2159
KPN211,221148502,0.00%,KPN084,K074,8207,-1.8955,0.43,1.606,0.44,0.6144,0.46,0.8419,0.45,0.6227,0.41,-0.7386,-0.2669,-0.1596,0.4776,0.7508,-2.10034132,0.51,-1.88249314,0.51,-1.7887,0.5,-1.3197,0.45,-0.3105,0.44,-0.9923,0.44,-0.7289,0.46,-1.4665,0.47,-0.4779,0.45,-2.3091,0.45,-1.2838,-1.1467,-1.1498,-1.4139,-0.658,-1.8436,-1.1821,-1.9022,-1.2913,-1.1102,-1.5536,0.55,-1.4788,0.52,-0.3315,0.49,-0.6458,0.4,-0.6841,0.4,1.0525,0.6,-0.7657,0.44,-0.3745,0.44,-0.012,0.42,-0.5961,0.47,-0.7595,-0.7804,-0.1584,-0.8114,-0.6605,0.6281,-0.7669,-0.6993,0.0711,-0.1165,-0.2122,0.39,0.1019,0.43,-0.0049,0.42,0.0165,0.34,-0.2226,0.41,-0.5629,0.41,-1.3017,0.42,-0.453,0.4,-0.6484,0.37,-0.5003,0.41,-1.5137,-1.1477,-1.1353,-0.8682,-1.138,-1.2422,-1.5229,-1.442,-1.3181,-1.3811,-0.032,0.33,0.1539,0.38,0.0312,0.25,0.0672,0.25,0.0388,0.31,-0.0749,0.35,-0.2381,0.34,-0.0745,0.27,-0.068,0.25,0.0822,0.28,-0.3706,-0.1351,-0.0594,0.1581,-0.1947,-0.2918,-0.9375,-0.5416,-0.1768,0.0094
KPN212,221148527,0.00%,KPN089,K288,,-3.9591,0.85,-31.1468,0.78,-0.5061,0.75,-0.7567,0.74,-1.1488,0.72,-0.8604,-1.7746,-0.3886,-0.4522,-1.0981,-2.81697559,0.88,-2.40890741,0.88,-3.497,0.87,-1.6726,0.85,-0.3069,0.81,-0.6336,0.82,-1.0192,0.82,-0.8591,0.85,-0.7169,0.81,-2.6712,0.83,-1.7109,-1.444,-1.9566,-1.8603,-0.6533,-1.3258,-1.5987,-1.2178,-1.801,-1.288,-3.1606,0.76,-3.3724,0.74,-2.8359,0.7,-0.975,0.59,-0.0072,0.6,-0.4075,0.81,-1.0525,0.64,-0.3644,0.65,-0.9238,0.62,-2.1683,0.68,-1.5251,-1.7316,-1.2863,-1.3189,0.174,-0.3455,-1.0889,-0.6788,-1.1552,-0.7261,0.0214,0.69,0.2006,0.75,-0.0131,0.74,-0.5304,0.61,-0.3996,0.73,-0.0166,0.71,-0.3689,0.73,-0.035,0.71,0.8031,0.67,-0.6001,0.73,-0.8562,-1.1065,-1.151,-1.3566,-1.2389,-0.8604,-1.1215,-0.9857,-0.4813,-1.4139,0.0408,0.6,0.2489,0.67,0.0531,0.6,-0.0246,0.48,0.0346,0.6,0.1112,0.63,0.1098,0.62,0.0645,0.57,0.3372,0.49,0.2348,0.55,0.8004,0.1702,0.2067,-0.3286,-0.2116,0.4641,0.1425,0.5456,1.5092,0.5073
KPN213,221111710,0.00%,KPN065,,,-7.7963,0.3,-15.3299,0.39,-5.0976,0.42,0.9544,0.42,-0.8908,0.2,-1.0869,-1.0465,-1.3272,0.543,-0.8288,-1.08604825,0.23,-0.97984737,0.23,-1.7572,0.22,-0.4979,0.19,-1.0629,0.19,-0.6577,0.19,-0.6531,0.2,-0.9642,0.21,-0.3987,0.19,-2.1093,0.19,-0.6792,-0.6369,-1.1349,-0.3743,-1.6576,-1.3604,-1.0734,-1.3363,-1.1223,-1.0121,-0.5479,0.46,-0.4784,0.43,-1.1765,0.4,-0.3654,0.29,-1.2124,0.3,-0.0579,0.51,-0.5,0.34,-0.6156,0.35,-0.7756,0.32,-2.4629,0.37,-0.2804,-0.2778,-0.5389,-0.3789,-1.3117,-0.1124,-0.4685,-1.1896,-0.9559,-0.8403,-0.0622,0.32,-0.8054,0.37,-0.2465,0.36,-0.2158,0.27,-0.2421,0.35,-0.1899,0.34,-0.3632,0.35,-0.2932,0.33,-0.2643,0.3,-0.6069,0.34,-1.0915,-1.5263,-1.5967,-1.0756,-1.1492,-0.9815,-1.119,-1.2675,-1.0966,-1.4162,0.0012,0.25,-0.1222,0.31,-0.0509,0.13,-0.0307,0.17,0.0085,0.23,0.0155,0.26,0.0029,0.25,-0.034,0.15,0.006,0.17,-0.0112,0.15,0.1632,-1.0225,-1.0546,-0.3612,-0.3161,0.0752,-0.1892,-0.2245,0.1312,-0.2952
KPN214,221113307,0.00%,KPN102,,,-11.0434,0.49,-16.7891,0.51,-7.1109,0.52,1.4812,0.52,-0.9542,0.41,-1.2785,-1.1137,-1.7388,0.8494,-0.8949,-0.68416202,0.57,-0.56373656,0.58,-2.7,0.56,-1.1947,0.51,-1.6673,0.49,-0.9137,0.49,-0.9433,0.51,-0.8566,0.53,-0.7679,0.5,-4.3707,0.5,-0.4397,-0.4019,-1.5802,-1.2557,-2.4607,-1.7301,-1.4898,-1.215,-1.9098,-2.1223,0.4027,0.55,0.1309,0.52,-0.6004,0.49,-0.108,0.38,-0.8696,0.39,-0.9629,0.6,-0.9664,0.43,-0.5972,0.44,-0.2964,0.41,-4.4293,0.46,0.1725,0.0283,-0.2795,0.0179,-0.8891,-0.7159,-0.9923,-1.1521,-0.3115,-1.6028,-0.0289,0.44,-0.1386,0.49,-0.13,0.48,-0.2231,0.38,-0.04,0.47,0.0626,0.46,-0.1491,0.47,-0.1003,0.45,0.4155,0.42,0.3237,0.46,-0.9978,-1.2481,-1.3743,-1.0821,-1.0341,-0.805,-1.0269,-1.0569,-0.7047,-1.11,-0.002,0.36,-0.0174,0.42,-0.0297,0.31,-0.0398,0.27,0.0183,0.35,0.0301,0.38,-0.0182,0.37,-0.0106,0.3,0.1498,0.27,0.111,0.3,0.1125,-0.6857,-0.7983,-0.4093,-0.277,0.1346,-0.2549,-0.0415,0.7297,0.1033
KPN215,221111735,0.00%,KPN049,,,2.3005,0.81,-20.5301,0.74,-6.885,0.7,0.235,0.69,-2.4173,0.7,-0.4909,-1.2859,-1.6926,0.1246,-2.4219,1.92205143,0.84,1.28238189,0.85,1.2797,0.83,0.4698,0.79,-0.6689,0.75,0.2861,0.77,0.4518,0.77,0.2874,0.8,0.0638,0.76,-1.4139,0.78,1.1137,0.6408,0.2994,0.8499,-1.1341,0.0021,0.5124,0.074,-0.1359,-0.6707,-0.2572,0.67,-0.7485,0.64,-0.7803,0.6,-0.0236,0.48,-0.918,0.49,-0.8071,0.73,-0.9802,0.53,-0.5736,0.54,-0.1264,0.51,-2.9376,0.57,-0.1419,-0.4134,-0.3605,0.1481,-0.9488,-0.6121,-1.0077,-1.1041,-0.0828,-1.0244,0.0489,0.65,-0.5621,0.72,-0.1799,0.7,0.1456,0.56,0.2814,0.7,0.7223,0.68,0.4375,0.7,-0.0402,0.68,0.7006,0.62,0.4221,0.69,-0.7789,-1.4248,-1.4695,-0.7529,-0.8511,-0.344,-0.7745,-0.9913,-0.5403,-1.0776,0.0137,0.55,-0.1966,0.63,-0.0574,0.55,0.0269,0.41,0.0682,0.56,0.2011,0.6,0.0973,0.58,-0.0278,0.51,0.1641,0.42,0.0866,0.5,0.3639,-1.2614,-1.1342,-0.0559,-0.0768,0.8292,0.1037,-0.1758,0.7891,0.0236
KPN216,221099284,0.00%,KPN040,K045,KPN032,0.5341,0.87,-27.3363,0.79,-7.4725,0.74,0.8824,0.73,-1.6939,0.74,-0.5952,-1.5992,-1.8127,0.5012,-1.6669,-2.3957932,0.89,-2.0958209,0.89,-0.9719,0.88,-1.5203,0.86,-0.1064,0.82,-0.3399,0.83,-0.5355,0.83,-0.2922,0.86,-0.2523,0.83,-2.7589,0.85,-1.4599,-1.2672,-0.764,-1.6677,-0.3868,-0.9017,-0.9046,-0.579,-0.81,-1.331,-4.0714,0.72,-2.6509,0.7,-0.4835,0.66,-0.9065,0.53,-0.7087,0.54,0.1075,0.78,-1.0978,0.59,0.1905,0.6,-0.3955,0.57,-3.0954,0.63,-1.959,-1.3692,-0.2269,-1.2134,-0.6908,-0.0021,-1.1398,0.4493,-0.4446,-1.0856,-0.1677,0.64,-1.4149,0.73,-0.1387,0.71,-0.5995,0.55,-0.2127,0.69,-0.4162,0.67,-1.0046,0.7,-0.3253,0.68,-1.2361,0.63,-2.6668,0.71,-1.3884,-1.7806,-1.3909,-1.4182,-1.1324,-1.1397,-1.3951,-1.3026,-1.6569,-2.094,0.0197,0.52,-0.0102,0.61,0.0482,0.53,-0.0079,0.37,0.1965,0.5,0.1241,0.56,0.0878,0.53,0.0541,0.47,-0.0322,0.4,-0.102,0.47,0.4612,-0.6627,0.1471,-0.2404,0.438,0.5167,0.0741,0.4641,-0.0279,-0.5915
KPN217,221100635,0.00%,KPN038,,,1.3326,0.41,-7.1284,0.42,0.9735,0.44,-1.4632,0.43,-1.2165,0.37,-0.548,-0.669,-0.0861,-0.8631,-1.1687,-1.98083889,0.49,-1.87532842,0.5,-1.5498,0.48,-1.0024,0.43,0.1415,0.42,-0.45,0.42,-0.5811,0.44,-0.1773,0.45,-0.282,0.42,-1.2757,0.43,-1.2125,-1.1426,-1.037,-1.0125,-0.0575,-1.0606,-0.97,-0.4496,-0.8735,-0.6029,-0.8313,0.48,-1.7165,0.46,-1.8378,0.43,-0.665,0.34,-1.6761,0.35,-0.9238,0.53,-0.5429,0.38,-0.5777,0.39,-1.0821,0.36,-1.9681,0.41,-0.4154,-0.8997,-0.8368,-0.841,-1.8834,-0.6899,-0.5166,-1.1126,-1.3681,-0.6485,0.1084,0.36,0.1298,0.41,0.0912,0.4,0.3651,0.31,0.391,0.38,0.4079,0.38,0.6116,0.39,0.2665,0.37,0.5094,0.35,-0.7873,0.39,-0.6114,-1.1361,-0.9518,-0.5569,-0.7886,-0.5637,-0.6995,-0.6564,-0.6506,-1.4755,0.022,0.29,0.008,0.35,0.0234,0.19,0.0919,0.21,0.0754,0.26,0.0904,0.3,0.1224,0.29,0.0583,0.22,0.1009,0.22,-0.2875,0.23,0.4972,-0.6039,-0.1541,0.2892,-0.0477,0.3795,0.1815,0.497,0.5259,-1.1968
KPN218,221101370,0.00%,KPN083,K170,KPN010,8.4188,0.83,21.9568,0.8,-0.5775,0.79,1.9687,0.78,-0.8596,0.72,-0.1298,0.6699,-0.4032,1.133,-0.7962,1.69194937,0.87,2.2040782,0.87,2.1999,0.85,-1.2977,0.83,0.2332,0.79,-0.2452,0.81,0.2387,0.81,0.5623,0.84,0.3901,0.8,-3.2547,0.82,0.9765,1.1613,0.7341,-1.3861,0.0644,-0.765,0.2066,0.3838,0.5601,-1.5744,4.0625,0.79,3.1089,0.77,0.3271,0.74,0.2648,0.64,0.1495,0.65,0.1621,0.83,-0.4775,0.69,0.4481,0.7,0.8756,0.67,1.3588,0.72,1.916,1.5243,0.1382,0.5927,0.3671,0.0343,-0.4433,0.9732,1.2649,0.6415,0.5543,0.7,2.1277,0.76,0.4047,0.74,1.2555,0.62,2.9353,0.74,2.1727,0.72,3.6666,0.74,1.6912,0.72,2.3404,0.67,3.0723,0.73,0.6435,-0.3025,-0.3529,0.238,0.6601,0.6697,0.6152,0.899,0.4051,-0.2055,0.0428,0.62,-0.0408,0.68,-0.0339,0.62,0.0904,0.49,0.3553,0.62,0.1978,0.65,0.378,0.63,0.1874,0.58,0.114,0.5,-0.1344,0.56,0.8324,-0.7607,-0.8487,0.2813,1.0748,0.8158,0.9748,1.5068,0.5804,-0.6973
KPN219,221094488,0.00%,KPN094,,,21.5505,0.94,24.0408,0.92,8.1878,0.91,-3.105,0.91,-0.2732,0.9,0.6453,0.7658,1.3887,-1.8181,-0.1842,0.4612163,0.95,1.29635751,0.95,2.183,0.95,-0.9742,0.94,1.2641,0.92,0.6263,0.93,0.7012,0.93,1.9039,0.94,1.0021,0.92,-0.0153,0.94,0.243,0.6487,0.7261,-0.9768,1.434,0.4932,0.8705,1.8955,1.8654,0.0159,-0.0577,0.91,0.5831,0.9,0.1242,0.89,-1.0817,0.85,-0.3756,0.85,-1.1573,0.93,0.7246,0.87,0.4249,0.87,0.2542,0.86,-1.3063,0.88,-0.0469,0.2555,0.0468,-1.4834,-0.2801,-0.8456,0.9067,0.926,0.4291,-0.3919,0.5885,0.88,3.4297,0.89,0.4327,0.89,1.7035,0.84,2.6297,0.89,2.528,0.89,3.9221,0.89,1.2588,0.89,2.3783,0.86,5.2478,0.88,0.7397,0.2407,-0.2996,0.638,0.486,0.9181,0.7251,0.4269,0.4269,0.5103,0.0329,0.85,0.2288,0.87,-0.0386,0.85,0.1911,0.8,0.2174,0.86,0.2768,0.87,0.4082,0.86,0.0475,0.85,0.0421,0.8,0.3092,0.84,0.6732,0.1054,-0.9063,0.8148,0.5216,1.1367,1.0685,0.413,0.2815,0.7498
KPN220,221118482,0.00%,KPN027,,,0.1416,0.53,-8.5247,0.52,-0.2363,0.53,-1.3977,0.53,-0.0833,0.53,-0.6183,-0.7332,-0.3335,-0.825,0.014,-2.30664611,0.61,-2.08995438,0.61,-1.4868,0.59,-1.3117,0.54,-0.0368,0.52,-1.0973,0.52,-0.7546,0.53,-0.44,0.56,-0.3538,0.52,-1.994,0.53,-1.4067,-1.2639,-1.0072,-1.4037,-0.2944,-1.9951,-1.219,-0.7456,-1.0265,-0.9555,0.241,0.59,0.3648,0.55,-2.0107,0.51,-0.7894,0.37,0.2194,0.38,-0.6119,0.66,-0.615,0.43,-0.828,0.44,-0.0277,0.4,-0.9934,0.47,0.0954,0.1458,-0.9146,-1.0328,0.4533,-0.4819,-0.5976,-1.6215,0.0501,-0.2706,0.3039,0.5,1.0859,0.54,0.2686,0.53,0.1461,0.43,1.2088,0.53,1.1518,0.52,1.6593,0.53,0.7405,0.51,1.6221,0.46,0.6493,0.5,-0.0612,-0.7372,-0.613,-0.7525,-0.323,-0.0437,-0.2487,-0.139,-0.0091,-1.0028,0.0604,0.43,0.1476,0.49,0.0528,0.39,-0.0245,0.33,0.2264,0.44,0.2285,0.47,0.3051,0.46,0.1358,0.4,0.3227,0.34,-0.0896,0.39,1.1144,-0.1556,0.2031,-0.3281,0.5578,0.9405,0.7487,1.103,1.4487,-0.5512
KPN222,221130729,0.00%,KPN086,K074,KPN048,-4.7347,0.86,-8.9819,0.8,-6.6811,0.77,1.9906,0.77,-0.4101,0.73,-0.9062,-0.7543,-1.6509,1.1457,-0.3271,-0.81255102,0.88,-0.89378065,0.89,-1.8608,0.87,-0.0193,0.85,-0.7232,0.81,-0.8802,0.82,-0.3761,0.82,-0.8664,0.85,-0.4214,0.81,-0.4471,0.84,-0.5162,-0.5883,-1.1838,0.2311,-1.2063,-1.6818,-0.6758,-1.226,-1.1708,-0.1961,-0.4534,0.76,-0.0155,0.74,-3.3849,0.7,-0.4961,0.6,-0.3036,0.6,-2.2695,0.81,-0.6038,0.65,-0.0207,0.65,-1.201,0.62,-1.6691,0.68,-0.2354,-0.0452,-1.5335,-0.5805,-0.1914,-1.5873,-0.585,0.0199,-1.5281,-0.5326,-0.2546,0.72,-0.046,0.77,-0.1784,0.76,0.1711,0.64,-0.6115,0.75,-0.9006,0.74,-1.1069,0.76,-0.6875,0.74,0.064,0.68,0.6866,0.75,-1.6331,-1.2095,-1.4666,-0.7302,-1.3595,-1.4782,-1.4391,-1.6981,-0.9073,-0.9906,-0.0727,0.64,-0.0129,0.69,-0.0454,0.64,0.073,0.51,-0.1745,0.64,-0.2575,0.67,-0.3255,0.65,-0.1804,0.6,-0.029,0.52,0.1398,0.58,-1.0232,-0.6711,-0.9881,0.1887,-1.0501,-1.0334,-1.2088,-1.3694,-0.0145,0.1972
KPN223,221133399,0.00%,KPN050,,,12.3306,0.31,4.8775,0.34,-4.2426,0.36,3.2612,0.36,-1.0381,0.28,0.1011,-0.1163,-1.1525,1.8848,-0.9825,-0.47602394,0.37,-0.55080551,0.38,-0.221,0.37,-0.4516,0.33,-0.0736,0.32,0.0397,0.32,-0.2789,0.34,0.0236,0.35,-0.1561,0.33,-1.0611,0.33,-0.3156,-0.3946,-0.4094,-0.3157,-0.3433,-0.3536,-0.5363,-0.2232,-0.6049,-0.4975,-0.4155,0.51,-0.9892,0.49,-0.9863,0.46,-0.8965,0.38,-0.8315,0.38,-0.1676,0.57,-0.5681,0.42,-0.2737,0.42,-0.1013,0.4,-1.2815,0.44,-0.2173,-0.5344,-0.4533,-1.198,-0.8422,-0.1856,-0.545,-0.4944,-0.049,-0.3823,0.0186,0.3,-0.0232,0.34,0.0185,0.33,-0.0091,0.26,-0.0522,0.32,0.0076,0.32,0.1143,0.32,0.1558,0.31,0.0866,0.28,-0.2494,0.31,-0.8643,-1.1999,-1.0906,-0.8911,-1.041,-0.8435,-0.9136,-0.7773,-0.8943,-1.2985,0.0045,0.25,0.0163,0.29,0.0104,0.06,-0.0047,0.18,-0.0028,0.23,0.0112,0.26,0.0543,0.25,0.0465,0.17,0.013,0.18,-0.0565,0.19,0.2166,-0.5774,-0.3116,-0.2234,-0.3617,0.0579,-0.03,0.4051,0.1601,-0.4433
KPN224,221133405,0.00%,KPN050,,,-19.9509,0.8,-16.341,0.73,-2.7207,0.69,1.4513,0.67,-0.7374,0.67,-1.8042,-1.093,-0.8413,0.8321,-0.6687,-1.28919971,0.83,-0.88095176,0.84,-3.1747,0.82,-2.2824,0.79,-0.7471,0.75,-1.1761,0.77,-1.2329,0.77,-1.2179,0.8,-0.9405,0.76,-4.4749,0.78,-0.8003,-0.581,-1.8044,-2.6317,-1.2381,-2.109,-1.9054,-1.6221,-2.278,-2.1734,-0.8902,0.7,-1.3989,0.68,-0.6588,0.65,-1.2896,0.55,-0.7998,0.55,-2.1339,0.76,-0.6498,0.59,-0.6715,0.6,-0.2312,0.57,-0.5379,0.62,-0.4435,-0.7402,-0.3058,-1.8041,-0.8032,-1.4969,-0.6367,-1.3032,-0.2237,-0.094,-0.0959,0.62,-0.4466,0.69,-0.0979,0.67,-0.36,0.55,-0.4059,0.66,-0.0404,0.64,0.0032,0.67,-0.0515,0.65,0.2265,0.6,0.8486,0.67,-1.1864,-1.3766,-1.3129,-1.2044,-1.2424,-0.877,-0.9614,-1.0037,-0.8137,-0.9372,-0.0392,0.53,-0.2007,0.59,-0.0474,0.52,-0.1452,0.41,-0.1398,0.52,-0.0491,0.56,-0.054,0.54,-0.0384,0.48,-0.0031,0.42,0.0778,0.48,-0.486,-1.2746,-1.0128,-0.9679,-0.911,-0.1869,-0.3659,-0.2593,0.0931,-0.0049
KPN225,221113411,0.00%,KPN090,K288,,-17.4337,0.55,-31.7007,0.67,-6.7978,0.72,-0.8257,0.73,-0.8319,0.32,-1.6557,-1.8001,-1.6748,-0.4924,-0.7673,-2.78194475,0.49,-2.62874174,0.49,-2.6703,0.47,-1.8173,0.42,-0.297,0.41,-0.6704,0.41,-1.0756,0.42,-0.7633,0.44,-0.4221,0.41,-3.6919,0.41,-1.69,-1.5682,-1.5662,-2.0434,-0.6401,-1.3788,-1.6797,-1.1099,-1.1723,-1.789,-0.4113,0.7,-0.832,0.67,-1.1387,0.63,-0.9604,0.51,-1.1951,0.52,-2.0744,0.76,-1.4255,0.56,-0.0823,0.57,-0.7503,0.54,-5.8667,0.6,-0.2153,-0.4554,-0.5219,-1.2964,-1.2904,-1.4572,-1.5077,-0.1052,-0.9219,-2.1601,-0.3022,0.56,-2.0844,0.65,-0.5496,0.63,-1.0643,0.46,-1.8432,0.6,-1.3975,0.58,-2.4675,0.61,-0.98,0.57,-1.4652,0.52,-3.3006,0.59,-1.7672,-2.0599,-2.1756,-1.8333,-2.0608,-1.8256,-2.0246,-2.0173,-1.789,-2.3026,0.0269,0.43,0.0774,0.53,-0.0088,0.48,-0.0228,0.28,-0.0537,0.39,-0.0114,0.44,-0.0612,0.41,0.0032,0.31,0.098,0.27,0.121,0.22,0.5764,-0.3809,-0.5447,-0.3193,-0.5655,-0.0338,-0.3882,0.0661,0.5137,0.1359
KPN226,221150386,0.00%,KPN109,K133,KPN008,9.8133,0.57,-8.2139,0.72,-8.457,0.76,-1.5981,0.77,-1.7615,0.34,-0.0475,-0.7189,-2.014,-0.9416,-1.7375,-0.25157747,0.49,-0.01732649,0.5,0.5937,0.48,-0.3272,0.43,-0.0263,0.42,0.0869,0.42,-0.0939,0.44,-0.0549,0.45,0.0622,0.43,-0.3633,0.43,-0.1819,-0.0933,-0.0246,-0.1583,-0.2804,-0.2856,-0.2708,-0.3117,-0.1392,-0.1549,2.182,0.75,2.8064,0.72,-1.0273,0.69,0.1546,0.57,-0.3479,0.58,-1.099,0.8,-0.6833,0.62,-0.5065,0.63,-0.5136,0.6,-0.7615,0.66,1.0201,1.3724,-0.4718,0.4228,-0.2461,-0.8067,-0.6743,-0.9679,-0.6036,-0.1807,0.0598,0.58,-0.5535,0.68,-0.2428,0.66,-0.2609,0.48,0.6104,0.62,0.0163,0.61,0.1751,0.63,0.0384,0.59,0.3052,0.55,0.2954,0.62,-0.7483,-1.4212,-1.5896,-1.1159,-0.6638,-0.8374,-0.8874,-0.9055,-0.7683,-1.1193,0.0123,0.45,-0.181,0.56,-0.0691,0.51,-0.0604,0.29,0.1383,0.4,-0.0114,0.46,0.0066,0.43,0.0064,0.32,0.0511,0.28,0.0915,0.22,0.3414,-1.2115,-1.2754,-0.5184,0.2047,-0.0339,-0.1778,0.0914,0.3189,0.0397
KPN227,221151659,0.00%,KPN104,K131,KPN011,3.276,0.87,-8.1297,0.86,-5.8584,0.86,2.0006,0.86,-0.4152,0.8,-0.4333,-0.7151,-1.4828,1.1515,-0.3324,-2.23828483,0.9,-2.52664185,0.9,-1.5748,0.89,-0.0768,0.87,-0.7802,0.83,0.0578,0.85,-1.4764,0.84,-0.02,0.87,-0.2421,0.84,-1.1311,0.86,-1.366,-1.5105,-1.0488,0.1584,-1.282,-0.3275,-2.255,-0.2723,-0.7884,-0.5319,-1.465,0.84,-1.6387,0.82,-1.4444,0.79,-0.6552,0.69,-0.7483,0.7,-0.0713,0.88,-0.8411,0.74,-0.382,0.75,-0.7296,0.72,-1.9796,0.77,-0.7173,-0.8607,-0.6596,-0.8258,-0.7396,-0.1213,-0.8516,-0.7146,-0.8941,-0.653,-0.0119,0.75,-0.0963,0.82,-0.0486,0.8,0.1923,0.65,0.3417,0.79,-0.1277,0.78,0.0034,0.8,-0.0066,0.77,0.1008,0.71,1.3905,0.79,-0.9501,-1.2304,-1.2187,-0.7113,-0.8168,-0.938,-0.9613,-0.9546,-0.8861,-0.7589,-0.0303,0.66,-0.2458,0.73,-0.0767,0.68,-0.0566,0.5,-0.0607,0.65,-0.1582,0.7,-0.186,0.67,-0.0952,0.61,-0.2263,0.52,-0.0162,0.59,-0.3432,-1.4195,-1.3681,-0.4982,-0.5939,-0.6301,-0.7757,-0.7034,-0.8354,-0.3118
