kpn,parent_kpn
KPN1361,KPN1206
KPN1362,KPN1193
KPN1363,KPN1136
KPN1364,KPN912
KPN1365,KPN1145
KPN1366,KPN1141
KPN1367,KPN1009
KPN1368,KPN950
KPN1369,KPN995
KPN1370,KPN984
KPN1371,KPN1009
KPN1372,KPN950
KPN1373,KPN990
KPN1374,KPN960
KPN1375,KPN950
KPN1376,KPN912
KPN1377,KPN999
KPN1378,KPN958
KPN1379,KPN950
KPN1380,KPN958
KPN1381,KPN1141
KPN1382,KPN984
KPN1383,KPN990
KPN1384,KPN1002
KPN1385,KPN984
KPN1386,KPN1009
KPN1387,KPN984
KPN1388,KPN1009
KPN1389,KPN999
KPN1390,KPN984
KPN1391,KPN1123
KPN1392,KPN999
KPN1393,KPN999
KPN1394,KPN1017
KPN1395,KPN1017
KPN1396,KPN1168
KPN1397,KPN1170
KPN1398,KPN990
KPN1399,KPN1167
KPN1400,KPN1159
KPN1401,KPN1009
KPN1402,KPN950
KPN1403,KPN1011
KPN1404,KPN1047
KPN1405,KPN944
KPN1406,KPN1046
KPN1407,KPN950
KPN1408,KPN918
KPN1409,KPN950
KPN1410,KPN1049
KPN1411,KPN990
KPN1412,KPN1170
KPN1413,KPN1158
KPN1414,KPN1046
KPN1415,KPN1159
KPN1416,KPN1012
KPN1417,KPN1032
KPN1418,KPN1159
KPN1419,KPN1011
KPN1420,KPN1046
KPN1421,KPN1046
KPN1422,KPN1012
KPN1423,KPN1159
KPN1424,KPN944
KPN1425,KPN944
KPN1426,KPN1017
KPN1427,KPN1034
KPN1428,KPN1034
KPN1429,KPN1034
KPN1430,KPN1017
KPN1431,KPN1017
KPN1432,KPN1137
KPN1433,KPN1064
KPN1434,KPN1216
KPN1435,KPN1060
KPN1436,KPN1064
KPN1437,KPN1069
KPN1438,KPN1009
KPN1439,KPN1009
KPN1440,KPN950
KPN1441,KPN1009
KPN1442,KPN1203
KPN1443,KPN1055
KPN1444,KPN1012
KPN1445,KPN1194
KPN1446,KPN1203
KPN1447,KPN1203
KPN1448,KPN1064
KPN1449,KPN1062
KPN1450,KPN918
KPN1451,KPN1202
KPN1452,KPN1060
KPN1453,KPN1012
KPN1454,KPN1055
KPN1455,KPN1203
KPN1456,KPN1009
KPN1457,KPN1060
KPN1458,KPN1194
KPN1459,KPN1216
KPN1460,KPN1009
KPN1461,KPN1203
KPN1462,KPN918
KPN1463,KPN1060
KPN1464,KPN918
KPN1465,KPN1061
KPN1466,KPN1215
KPN1467,KPN1062
KPN1468,KPN1115
KPN1469,KPN1046
KPN1470,KPN1159
KPN1471,KPN1159
KPN1472,KPN950
KPN1473,KPN1069
KPN1474,KPN1115
KPN1475,KPN1081
KPN1476,KPN1064
KPN1477,KPN1009
KPN1478,KPN1069
KPN1479,KPN918
KPN1480,KPN918
KPN1481,KPN1069
KPN1482,KPN1229
KPN1483,KPN918
KPN1484,KPN1100
KPN1485,KPN1115
KPN1486,KPN1069
KPN1487,KPN1081
KPN1488,KPN944
KPN1489,KPN1080
KPN1490,KPN1112
KPN1491,KPN1080
KPN1492,KPN1009
KPN1493,KPN1069
KPN1494,KPN1098
KPN1495,KPN1100
KPN1496,KPN1009
KPN1497,KPN1046
KPN1498,KPN1081
KPN1499,KPN1062
KPN1500,KPN1081
KPN1501,KPN1285
KPN1502,KPN1263
KPN1503,KPN1263
KPN1504,KPN1249
KPN1505,KPN1069
KPN1506,KPN1273
KPN1507,KPN1272
KPN1508,KPN1100
KPN1509,KPN1133
KPN1510,KPN1133
KPN1511,KPN1069
KPN1512,KPN1064
KPN1513,KPN1112
KPN1514,KPN1081
KPN1515,KPN1080
KPN1516,KPN1081
KPN1517,KPN1064
KPN1518,KPN1274
KPN1519,KPN1101
KPN1520,KPN918
KPN1521,KPN1081
KPN1522,KPN1274
KPN1523,KPN1064
KPN1524,KPN1055
KPN1525,KPN1286
KPN1526,KPN1062
KPN1527,KPN1046
KPN1528,KPN1272
KPN1529,KPN1272
KPN1530,KPN1274
KPN1531,KPN1076
KPN1532,KPN1046
KPN1533,KPN1060
KPN1534,KPN1064
KPN1535,KPN1332
KPN1536,KPN1332
KPN1537,KPN1285
KPN1538,KPN1332
KPN1539,KPN1305
KPN1540,KPN1279
KPN1541,KPN1321
KPN1542,KPN1263
KPN1543,KPN1368
KPN1544,KPN1379
KPN1545,KPN1305
KPN1546,KPN1127
KPN1547,KPN1316
KPN1548,KPN950
KPN1549,KPN950
KPN1550,KPN1281
KPN1551,KPN1112
KPN1552,KPN1133
KPN1553,KPN950
KPN1554,KPN950
KPN1555,KPN1112
KPN1556,KPN950
KPN1557,KPN1283
KPN1558,KPN1283
KPN1559,KPN1151
KPN1560,KPN1064
KPN1561,KPN1133
KPN1562,KPN1080
KPN1563,KPN1127
KPN1564,KPN1127
KPN1565,KPN1127
KPN1566,KPN1060
KPN1567,KPN1280
KPN1568,KPN1127
KPN1569,KPN1170
KPN1570,KPN1151
KPN1571,hanwoo
KPN1572,KPN1267
KPN1573,KPN1263
KPN1574,KPN1236
KPN1575,KPN1279
KPN1576,KPN1319
KPN1577,KPN1263
KPN1578,KPN1423
KPN1579,KPN1416
KPN1580,KPN1203
KPN1581,KPN1332
KPN1582,KPN1337
KPN1583,KPN1263
KPN1584,KPN1416
KPN1585,KPN1069
KPN1586,KPN1272
KPN1587,KPN1203
KPN1588,KPN1203
KPN1589,KPN1272
KPN1590,KPN1046
KPN1591,KPN1112
KPN1592,KPN1115
KPN1593,KPN1203
KPN1594,KPN1350
KPN1595,KPN1350
KPN1596,KPN1203
KPN1597,KPN1213
KPN1598,KPN1127
KPN1599,KPN1127
KPN1600,KPN1274
KPN1601,KPN1081
KPN1602,KPN1281
KPN1603,KPN1274
KPN1604,KPN1274
KPN1605,hanwoo
KPN1606,KPN1420
KPN1607,KPN1263
KPN1608,KPN1446
KPN1609,KPN1203
KPN1610,KPN1446
KPN1611,KPN950
KPN1612,KPN1447
KPN1613,KPN1416
KPN1614,KPN1416
KPN1615,KPN1374
KPN1616,KPN1225
KPN1617,KPN1194
KPN1618,KPN1151
KPN1619,KPN1115
KPN1620,KPN1203
KPN1621,KPN1363
KPN1622,KPN1081
KPN1623,KPN1115
KPN1624,KPN1203
KPN1625,KPN1281
KPN1626,KPN1151
KPN1627,KPN1151
KPN1628,KPN1203
KPN1629,KPN1115
KPN1630,KPN1254
KPN1631,KPN1151
KPN1632,KPN1225
KPN1633,KPN1286
KPN1634,KPN1203
KPN1635,KPN1062
KPN1636,KPN1281
KPN1637,KPN1281
KPN1638,KPN1151
KPN1639,hanwoo
K030,hanwoo
K045,hanwoo
K073,hanwoo
K074,hanwoo
K096,hanwoo
K103,hanwoo
K104,hanwoo
K112,hanwoo
K113,hanwoo
K118,hanwoo
K126,hanwoo
K131,hanwoo
K133,hanwoo
K136,hanwoo
K140,hanwoo
K154,hanwoo
K170,hanwoo
K172,hanwoo
K201,hanwoo
K205,hanwoo
K207,hanwoo
K217,hanwoo
K227,hanwoo
K269,hanwoo
K279,hanwoo
K288,hanwoo
K292,hanwoo
K331,hanwoo
K359,hanwoo
KP041,hanwoo
KP172,hanwoo
KP341,hanwoo
KP344,hanwoo
KP391,hanwoo
