kpn,parent_kpn
KPN327,KPN247
KPN328,KPN247
KPN329,KPN247
KPN330,KPN147
KPN331,KPN124
KPN332,KPN123
KPN333,KPN123
KPN334,KPN147
KPN335,KPN151
KPN336,KPN147
KPN337,KPN147
KPN338,KPN147
KPN339,KPN147
KPN340,KPN147
KPN341,KPN146
KPN342,KPN151
KPN343,KPN063
KPN344,KPN151
KPN345,KPN137
KPN346,KPN054
KPN347,KPN151
KPN348,KPN147
KPN349,KPN171
KPN350,KPN147
KPN351,KPN122
KPN352,KPN147
KPN353,KPN170
KPN354,KPN147
KPN355,KPN072
KPN356,KPN147
KPN357,KPN124
KPN358,KPN103
KPN359,KPN111
KPN360,KPN145
KPN361,KPN111
KPN362,KPN111
KPN363,KPN145
KPN364,KPN191
KPN365,KPN260
KPN366,KPN189
KPN367,KPN188
KPN368,KPN147
KPN369,KPN116
KPN370,KPN063
KPN371,KPN146
KPN372,KPN151
KPN373,KPN151
KPN374,KPN171
KPN375,KPN147
KPN376,KPN076
KPN377,KPN076
KPN378,KPN076
KPN379,KPN085
KPN380,KPN094
KPN381,KPN094
KPN382,KPN085
KPN383,KPN085
KPN384,KPN151
KPN385,KPN247
KPN386,KPN137
KPN387,KPN123
KPN388,KPN123
KPN389,KPN137
KPN390,KPN147
KPN391,KPN147
KPN392,KPN122
KPN393,KPN123
KPN394,KPN123
KPN395,KPN127
KPN396,KPN131
KPN397,KPN147
KPN398,KPN151
KPN399,KPN147
KPN400,KPN146
KPN401,KPN146
KPN402,KPN127
KPN403,KPN127
KPN404,KPN127
KPN405,KPN127
KPN406,KPN127
KPN407,KPN171
KPN408,KPN147
KPN409,KPN147
KPN410,KPN198
KPN411,KPN127
KPN412,KPN137
KPN413,KPN144
KPN414,KPN200
KPN415,KPN200
KPN416,KPN183
KPN417,KPN201
KPN418,KPN201
KPN419,KPN201
KPN420,KPN137
KPN421,KPN187
KPN422,KPN187
KPN423,KPN137
KPN424,KPN127
KPN425,KPN131
KPN426,KPN127
KPN427,KPN127
KPN428,KPN127
KPN429,KPN247
KPN430,KPN190
KPN431,KPN147
KPN432,KPN111
KPN433,KPN315
KPN434,KPN187
KPN435,KPN187
KPN436,KPN187
KPN437,KPN200
KPN438,KPN200
KPN439,KPN127
KPN440,KPN147
KPN441,KPN187
KPN442,KPN187
KPN443,KPN187
KPN444,KPN111
KPN445,KPN201
KPN446,KPN138
KPN447,KPN187
KPN448,KPN200
KPN449,KPN147
KPN450,KPN243
KPN451,KPN243
KPN452,KPN219
KPN453,KPN201
KPN454,KPN137
KPN455,KPN219
KPN456,KPN184
KPN457,KPN219
KPN458,KPN141
KPN459,KPN243
KPN460,KPN219
KPN461,KPN137
KPN462,KPN137
KPN463,KPN200
KPN464,KPN184
KPN465,KPN187
KPN466,KPN187
KPN467,KPN202
KPN468,KPN184
KPN469,KPN137
KPN470,KPN137
KPN471,KPN123
KPN472,KPN200
KPN473,KPN200
KPN474,KPN148
KPN475,KPN187
KPN476,KPN187
KPN477,KPN187
KPN478,KPN184
KPN479,KPN200
KPN480,KPN219
KPN481,KPN137
KPN482,KPN244
KPN483,KPN222
KPN484,KPN219
KPN485,KPN266
KPN486,KPN219
KPN487,KPN222
KPN488,KPN184
KPN489,KPN137
KPN490,KPN201
KPN491,KPN137
KPN492,KPN219
KPN493,KPN244
KPN494,KPN299
KPN495,KPN189
KPN496,KPN219
KPN497,KPN299
KPN498,KPN232
KPN499,KPN252
KPN500,KPN184
KPN501,KPN224
KPN502,KPN184
KPN503,KPN219
KPN504,KPN219
KPN505,KPN219
KPN506,KPN219
KPN507,KPN219
KPN508,KPN229
KPN509,KPN147
KPN510,KPN216
KPN511,KPN202
KPN512,KPN198
KPN513,KPN191
KPN514,KPN138
KPN515,KPN218
KPN516,KPN218
KPN517,KPN229
KPN518,KPN218
KPN519,KPN229
KPN520,KPN244
KPN521,KPN184
KPN522,KPN184
KPN523,KPN184
KPN524,KPN267
KPN525,KPN229
KPN526,KPN229
KPN527,KPN184
KPN528,KPN212
KPN529,KPN216
KPN530,KPN273
KPN531,KPN218
KPN532,KPN229
KPN533,KPN244
KPN534,KPN320
KPN535,KPN184
KPN536,KPN184
KPN537,KPN184
KPN538,KPN229
KPN539,KPN229
KPN540,KPN200
KPN541,KPN232
KPN542,KPN243
