kpn,STD_CHGR,MATNG_PRTS_PARTCPTN_AT,BRDR_TRB,BRDR_THWD,STD_CRWG,BRDR_LN_Y_AR,BRDR_MRSC,SLE_AT_NM,STD_BDLN,SLE_AT,BRDR_CRWG,BRDR_12_MTAG_WGHT,STD_LN_Y_AR,BRDR_WTHG,BRDR_BCKF_THCN,STD_MRSC,BRBL_SPCHCKN_CODE_NM,STD_CHWD,PPLT_REGIST_NO,PPLT_IDNTFC_NO,STD_12_MTAG_WGHT,STD_BCKF_THCN,BRDR_ISWD,BRDR_DPCH,STD_WTHG,BRBL_NO,BIRTH_DATETM,STD_ISWD,STD_TRB,MATNG_PRTS_PARTCPTN_AT_NM,BRDR_HPWD,STD_HHC,BRDR_BDLN,STD_THWD,BRDR_CHGR,BRBL_SPCHCKN_CODE,BRDR_HHC,BRDR_CHWD,STD_DPCH,STD_HPWD,SCDR_REGIST_NO,SCDR_PPLT_IDNTFC_NO,NRPL_PPLT_IDNTFC_NO,NRPL_REGIST_NO,SCDR_KPN,BEING_AT_NM,BEING_AT
KPN015,0,N,0.1222,-0.3901,-0.7792,-5.8779,-0.6676,미판매,0,N,-9.5224,-0.4183,-1.4867,-0.523,0.9748,-0.5958,보증,0,711006631,001711006631,-0.6514,0.5549,-0.039,0.1177,0,KPN015,19830415,0,0,미참여,-0.1746,0,1.4108,0,-0.8855,HA5701,0.1241,0.4578,0,0,,,,,,,
KPN016,0,N,0.1158,-0.274,-0.0414,3.3186,-0.6625,미판매,0,N,6.5049,10.2747,0.3933,-0.2687,-0.2544,-0.5905,보증,0,221013003,001221013003,-0.0203,-0.16,-0.0989,0.01,0,KPN016,19830727,0,0,미참여,1.1158,0,0.1075,0,-0.7316,HA5701,-0.1423,0.8416,0,0,711005514,001711005514,000221001106,221001106,,,
KPN017,0,N,-0.0558,-0.0232,-0.5307,-0.6227,-0.2139,미판매,0,N,-4.1249,-2.6254,-0.4124,0.171,0.502,-0.1223,보증,0,221013002,001221013002,-0.7817,0.2799,0.0896,0.0074,0,KPN017,19830404,0,0,미참여,0.0421,0,-0.1776,0,-0.1915,HA5701,0.2575,-0.1339,0,0,711005066,001711005066,000221001340,221001340,,,
KPN018,0,N,-0.085,0.6616,-0.1429,1.2624,-0.2616,미판매,0,N,4.3004,4.2537,-0.0271,1.6167,0.6746,-0.1721,보증,0,221013007,001221013007,-0.3756,0.3803,0.0871,-0.0433,0,KPN018,19830915,0,0,미참여,0.6867,0,0.6068,0,0.4927,HA5701,1.3527,0.9544,0,0,711005514,001711005514,000221001205,221001205,,,
KPN020,0,N,0.0063,0.0668,-0.0936,0.6526,0.0723,미판매,0,N,5.3705,2.7844,-0.1517,0.0686,-0.2627,0.1763,보증,0,221013000,001221013000,-0.4624,-0.1649,-0.0296,0.0688,0,KPN020,19830322,0,0,미참여,0.1022,0,0.3604,0,0.3587,HA5701,-0.1543,-0.0523,0,0,711005071,001711005071,000221001356,221001356,,,
KPN021,0,N,0.0283,0.1883,-0.2666,-0.5195,-0.6735,미판매,0,N,1.6115,1.0248,-0.3914,0.6628,2.6299,-0.6019,보증,0,711006884,001711006884,-0.5662,1.5176,0.0718,0.2024,0,KPN021,19840101,0,0,미참여,0.2031,0,0.5045,0,-2.0485,HA5701,0.0117,-0.0123,0,0,,,,,,,
KPN022,0,N,0.1292,-0.0533,-0.659,-1.848,-0.6844,미판매,0,N,-6.9126,3.1119,-0.6629,-0.7819,-1.0951,-0.6134,보증,0,711006959,001711006959,-0.443,-0.649,-0.5006,0.3798,0,KPN022,19840101,0,0,미참여,0.917,0,1.3893,0,-0.4659,HA5701,-0.6447,0.435,0,0,,,,,,,
KPN023,0,N,0.1112,-0.0631,-0.2859,0.5222,0.0364,미판매,0,N,1.1921,0.4967,-0.1784,0.3477,0.0734,0.139,보증,0,711006847,001711006847,-0.5974,0.0306,0.1158,-0.0158,0,KPN023,19840715,0,0,미참여,0.0538,0,0.0781,0,0.5773,HA5701,0.4126,0.0599,0,0,,,,,,,
KPN024,0,N,-0.048,0.0284,-0.3174,0.2133,0.0042,미판매,0,N,0.5084,0.573,-0.2416,0.1308,-0.1034,0.1053,보증,0,711007032,001711007032,-0.5929,-0.0722,0.0097,-0.0101,0,KPN024,19840702,0,0,미참여,0.0813,0,-0.1354,0,0.0184,HA5701,0.0723,0.0181,0,0,,,,,,,
KPN025,0,N,0.3225,0.1987,0.0572,1.4579,-0.087,미판매,0,N,8.6459,6.9697,0.0129,0.1558,0.0795,0.0101,보증,0,221016504,001221016504,-0.2153,0.0342,-0.2023,0.4092,0,KPN025,19840315,0,0,미참여,1.0136,0,0.6785,0,0.7763,HA5701,0.3638,0.3989,0,0,221014854,001221014854,001251000245,251000245,,,
KPN026,0,N,0.2197,0.7087,-0.5984,-4.7075,-0.8002,미판매,0,N,-5.5958,-0.8076,-1.2475,3.1091,-0.3308,-0.7342,보증,0,711007157,001711007157,-0.6744,-0.2045,-0.3946,-0.1043,0,KPN026,19840423,0,0,미참여,1.5464,0,0.7312,0,1.4203,HA5701,2.7872,0.6078,0,0,,,,,,,
KPN027,0,N,0.1855,-0.0398,-0.174,2.6636,-0.3007,미판매,0,N,3.6248,5.547,0.2594,0.202,-1.1264,-0.2129,보증,0,221016505,001221016505,-0.2993,-0.6673,-0.4056,0.0058,0,KPN027,19840427,0,0,미참여,0.4901,0,-0.2066,0,0.6943,HA5701,0.6961,0.2562,0,0,221014854,001221014854,001221000244,221000244,,,
KPN028,0,N,-0.5673,-0.3599,-1.1077,-6.4699,-1.0539,미판매,0,N,-16.6596,-2.12,-1.6078,-0.409,1.2456,-0.999,보증,0,221016507,001221016507,-0.7518,0.7124,0.029,-0.2071,0,KPN028,19840911,0,0,미참여,1.2264,0,-0.1324,0,-3.2806,HA5701,0.3909,-0.3167,0,0,221014858,001221014858,001221003086,221003086,,,
KPN029,0,N,0.1957,-0.1996,-0.2396,0.4251,0.5407,미판매,0,N,2.1987,-0.2286,-0.1982,1.3973,-0.3664,0.6652,보증,0,221016510,001221016510,-0.6402,-0.2252,-0.0946,0.2788,0,KPN029,19840926,0,0,미참여,0.067,0,0.4924,0,1.0017,HA5701,1.0016,-0.2643,0,0,221014855,001221014855,001221003084,221003084,,,
KPN030,0,N,-0.0207,0.1941,-0.3881,0.6951,-0.5264,미판매,0,N,-1.026,7.4905,-0.1431,0.6161,0.8725,-0.4485,보증,0,221016511,001221016511,-0.1846,0.4954,0.1754,0.0587,0,KPN030,19840929,0,0,미참여,0.806,0,0.1868,0,0.5044,HA5701,1.3251,0.444,0,0,221014857,001221014857,001221006318,221006318,,,
KPN031,0,N,-0.4948,-0.2615,-0.4223,-0.89,-0.5041,미판매,0,N,-1.7709,1.4837,-0.4671,-0.2783,0.1646,-0.4251,보증,0,221016513,001221016513,-0.5391,0.0836,-0.2942,-0.0934,0,KPN031,19841014,0,0,미참여,0.4699,0,-2.0064,0,-2.402,HA5701,-0.1089,-0.4941,0,0,221014856,001221014856,001221003088,221003088,,,
KPN032,0,N,-1.0871,-0.3893,-1.1824,-5.5315,-1.5196,미판매,0,N,-18.2824,-2.2444,-1.4159,0.0751,1.7471,-1.4851,보증,0,711006299,001711006299,-0.7592,1.0041,-0.3147,-0.9451,0,KPN032,19810630,0,0,미참여,0.8316,0,-1.2224,0,-3.9992,HA5701,-0.2215,-1.619,0,0,,,,,,,
KPN033,0,N,-0.6848,-0.8065,-1.6356,-3.7436,-1.1838,미판매,0,N,-28.1273,-13.242,-1.0504,0.0683,0.3274,-1.1345,보증,0,711007044,001711007044,-1.4083,0.1784,-0.2098,-0.2232,0,KPN033,19831015,0,0,미참여,0.2607,0,-2.3883,0,-2.2774,HA5701,-0.1616,0.073,0,0,,,,,,,
KPN034,0,N,0.2537,0.2874,-0.5872,0.7742,-1.3539,미판매,0,N,-5.3516,10.0623,-0.1269,-0.3896,-0.1912,-1.312,보증,0,711007159,001711007159,-0.0328,-0.1233,-0.2521,0.0529,0,KPN034,19840926,0,0,미참여,-0.7603,0,2.0721,0,-0.6519,HA5701,0.5967,-0.047,0,0,,,,,,,
KPN035,0,N,0.4032,-0.461,-0.4632,-4.7996,-1.8554,미판매,0,N,-2.6592,12.1983,-1.2663,0.8718,-0.2722,-1.8355,보증,0,711006932,001711006932,0.0933,-0.1704,-0.4309,0.1522,0,KPN035,19840517,0,0,미참여,0.4775,0,1.9524,0,0.5288,HA5701,0.2325,-1.6668,0,0,,,,,,,
KPN036,0,N,0.0047,-1.0353,-1.0502,-6.433,0.1562,미판매,0,N,-15.4112,-10.5788,-1.6002,-0.4362,-0.7866,0.2639,보증,0,711006946,001711006946,-1.2511,-0.4696,-0.6196,0.1378,0,KPN036,19841119,0,0,미참여,-0.4287,0,-0.5939,0,-1.6007,HA5701,-1.1231,-1.2924,0,0,,,,,,,
KPN037,0,N,-1.022,-0.6104,-0.1645,-4.0424,-0.248,미판매,0,N,3.8294,-3.2949,-1.1115,1.9934,1.2277,-0.1579,보증,0,711007017,001711007017,-0.8212,0.702,-0.2772,-0.0102,0,KPN037,19840821,0,0,미참여,-1.0755,0,0.081,0,1.0265,HA5701,2.5231,-0.345,0,0,,,,,,,
KPN038,0,N,-0.9407,0.383,0.3703,0.1706,-1.0778,미판매,0,N,15.4489,21.3538,-0.2503,-0.3186,0.9693,-1.024,보증,0,711006883,001711006883,0.6336,0.5517,-0.4374,-0.3125,0,KPN038,19840901,0,0,미참여,0.4688,0,0.4277,0,1.273,HA5701,0.0973,0.5657,0,0,,,,,,,
KPN039,0,N,-0.7437,-2.3773,-1.0905,-7.5313,-0.2537,미판매,0,N,-16.2869,-9.1718,-1.8248,-4.8245,1.7736,-0.1639,보증,0,221016644,001221016644,-1.168,1.0195,-0.2015,-1.5186,0,KPN039,19840901,0,0,미참여,-4.4266,0,-4.7353,0,-4.4607,HA5701,-4.4308,-1.6627,0,0,711001570,001711001570,000211004573,211004573,K045,,
KPN040,0,N,-1.1006,-2.1092,-2.0609,-6.6512,-1.4127,미판매,0,N,-37.3673,-15.0307,-1.6448,-6.1574,1.7174,-1.3734,보증,0,221016646,001221016646,-1.5138,0.9868,-0.7029,-1.1873,0,KPN040,19841011,0,0,미참여,-3.1276,0,-4.6969,0,-6.1322,HA5701,-5.2864,-1.4757,0,0,711001570,001711001570,000221000980,221000980,K045,,
KPN041,0,N,-0.2264,-0.1019,-0.6381,-2.6984,-0.8141,미판매,0,N,-6.4589,-0.5897,-0.8368,-1.2335,1.5635,-0.7488,보증,0,711007111,001711007111,-0.6615,0.8973,0.0843,-0.2114,0,KPN041,19840415,0,0,미참여,0.6073,0,0.5893,0,-0.373,HA5701,-1.3355,-0.6319,0,0,,,,,,,
KPN042,0,N,-0.2811,-0.2159,-0.5675,-1.2765,-0.2569,미판매,0,N,-4.9238,-2.5993,-0.5461,-0.5986,0.3348,-0.1672,보증,0,221016512,001221016512,-0.7801,0.1827,-0.1116,-0.0976,0,KPN042,19841009,0,0,미참여,0.2494,0,-1.2179,0,-0.7124,HA5701,-0.3488,-0.0952,0,0,221014856,001221014856,001251001809,251001809,,,
KPN043,0,N,-0.4427,-1.3911,-1.0325,-6.8624,-0.7756,미판매,0,N,-15.0257,-2.2936,-1.688,-1.4629,-0.0743,-0.7086,보증,0,221016515,001221016515,-0.7621,-0.0553,0.5194,-0.7257,0,KPN043,19841019,0,0,미참여,-1.4993,0,-2.0023,0,-4.3686,HA5701,-0.27,-0.8329,0,0,221014858,001221014858,001221000254,221000254,,,
KPN044,0,N,-0.1472,-1.1633,-1.1075,-7.5067,-0.8091,미판매,0,N,-16.6548,-9.4766,-1.8197,-0.5256,2.2796,-0.7435,보증,0,211123334,001211123334,-1.186,1.3138,-0.0793,-0.1291,0,KPN044,19850518,0,0,미참여,-1.1608,0,-0.2862,0,-1.234,HA5701,-0.3924,-0.6304,0,0,,,,,,,
KPN045,0,N,-0.2433,-0.3233,-0.6611,-1.3238,-0.1003,미판매,0,N,-6.957,-3.4266,-0.5558,-0.7977,-0.6528,-0.0037,보증,0,211122985,001211122985,-0.8289,-0.3918,-0.1751,-0.1614,0,KPN045,19850421,0,0,미참여,-1.0933,0,-0.6142,0,-1.2817,HA5701,-0.912,-0.0199,0,0,,,,,,,
KPN046,0,N,-0.0124,-0.618,-0.0814,1.0712,-0.2261,미판매,0,N,5.636,13.1031,-0.0662,1.0456,0.0991,-0.1351,보증,0,211124441,001211124441,0.1467,0.0456,-0.4106,-0.0276,0,KPN046,19841114,0,0,미참여,-0.6307,0,0.2644,0,-1.573,HA5701,0.3338,-1.0199,0,0,,,,,,,
KPN047,0,N,0,0,-0.4046,-0.169,0.0166,미판매,0,N,-1.3854,-1.6399,-0.3197,0,-0.0013,0.1183,보증,0,211123962,001211123962,-0.7235,-0.0128,0,0,0,KPN047,19850619,0,0,미참여,0,0,0,0,0,HA5701,0,0,0,0,,,,,,,
KPN048,0,N,-1.1383,-0.7244,-1.2568,-2.2728,-1.9716,미판매,0,N,-19.8993,-2.9862,-0.7498,0.4884,-1.9097,-1.9567,보증,0,211123970,001211123970,-0.8029,-1.1228,-0.8794,-1.0121,0,KPN048,19850512,0,0,미참여,-1.9516,0,-1.5365,0,-3.8881,HA5701,-0.6603,-3.1943,0,0,,,,,,,
KPN049,0,N,-0.1125,-0.4495,-0.8366,-2.4857,-1.2381,미판매,0,N,-10.7704,1.4613,-0.7933,-1.103,0.6158,-1.1913,보증,0,211125843,001211125843,-0.5405,0.3461,-0.2293,-0.0097,0,KPN049,19850807,0,0,미참여,-0.0662,0,-1.0575,0,-1.729,HA5701,-1.178,-0.5531,0,0,,,,,,,
KPN050,0,N,-0.3482,-0.7761,-0.6661,-2.8038,-1.0332,미판매,0,N,-7.0672,-0.7703,-0.8583,0.0525,1.8404,-0.9774,보증,0,211125845,001211125845,-0.6722,1.0583,-0.8224,-1.0732,0,KPN050,19850816,0,0,미참여,-1.4423,0,-0.9043,0,-1.0419,HA5701,-0.6572,-0.9478,0,0,,,,,,,
KPN051,0,N,-0.0804,-0.0398,-0.422,-0.4494,0.0877,미판매,0,N,-1.7628,-1.4612,-0.377,0.0353,-0.2523,0.1925,보증,0,211125847,001211125847,-0.7129,-0.1588,0.0812,-0.2466,0,KPN051,19850912,0,0,미참여,-0.2834,0,-0.147,0,-0.4918,HA5701,-0.1227,0.0739,0,0,,,,,,,
KPN052,0,N,-0.7166,-0.975,-0.3747,0.2216,-0.2263,미판매,0,N,-0.7363,-2.3439,-0.2398,-0.0511,1.8139,-0.1352,보증,0,221019448,001221019448,-0.765,1.0429,-0.2041,-0.8827,0,KPN052,19851007,0,0,미참여,-1.454,0,-0.6708,0,-1.7236,HA5701,0.4178,-0.8129,0,0,711005219,001711005219,000211001841,211001841,K103,,
KPN053,0,N,-0.271,-0.5173,-1.0418,-0.6987,0.1523,미판매,0,N,-15.2276,-10.7937,-0.428,-1.488,0.3148,0.2599,보증,0,221016559,001221016559,-1.2638,0.171,-0.2263,-0.321,0,KPN053,19850901,0,0,미참여,-0.2052,0,-0.8039,0,-1.1193,HA5701,-1.5499,-0.6342,0,0,711001359,001711001359,000211007823,211007823,K030,,
KPN054,0,N,0.0893,-0.8806,-0.5291,0.6204,0.1974,미판매,0,N,-4.0895,-12.9983,-0.1583,-0.2534,-0.7041,0.3069,보증,0,221016568,001221016568,-1.3939,-0.4216,-0.1967,-0.6529,0,KPN054,19850906,0,0,미참여,0.7248,0,-0.9665,0,-1.4763,HA5701,-0.5883,-0.8777,0,0,711004339,001711004339,000211007841,211007841,K074,,
KPN055,0,N,-0.3641,-0.6526,-0.6455,-1.061,0.2558,미판매,0,N,-6.6197,-7.5438,-0.5021,-0.6525,0.2326,0.3679,보증,0,221016570,001221016570,-1.0719,0.1232,-0.3222,-0.3771,0,KPN055,19850908,0,0,미참여,-0.32,0,-0.8495,0,-0.5054,HA5701,-0.675,-0.5334,0,0,711004339,001711004339,000211007886,211007886,K074,,
KPN056,0,N,0.156,-0.4303,-0.6976,-2.5022,-1.3946,미판매,0,N,-7.7512,-13.4857,-0.7967,-2.127,3.4438,-1.3546,보증,0,221016578,001221016578,-1.4226,1.9909,-0.3357,0.4633,0,KPN056,19851012,0,0,미참여,-0.8887,0,-0.3643,0,-0.3487,HA5701,-1.3176,-0.2893,0,0,711004852,001711004852,000211007875,211007875,K096,,
KPN057,0,N,-0.5738,-0.6525,-0.5514,-0.7689,0.728,미판매,0,N,-4.5748,-9.4431,-0.4423,-0.0905,0.3676,0.8607,보증,0,221016582,001221016582,-1.1841,0.2017,-0.1623,-0.1295,0,KPN057,19851126,0,0,미참여,-0.7972,0,-0.9348,0,-0.3253,HA5701,-0.349,-0.5275,0,0,711004339,001711004339,000211007882,211007882,K074,,
KPN058,0,N,-0.2134,-0.4458,-0.4129,-0.1982,-0.3881,미판매,0,N,-1.5663,0.9522,-0.3257,0.1353,-0.4192,-0.3041,보증,0,221019764,001221019764,-0.5705,-0.2559,-0.2059,-0.0852,0,KPN058,19851025,0,0,미참여,-0.7602,0,-0.0218,0,-1.2126,HA5701,-0.2857,-0.3679,0,0,711006360,001711006360,000211058695,211058695,KPN002,,
KPN059,0,N,-0.8249,-0.0963,-0.7067,-2.4597,-0.3643,미판매,0,N,-7.9474,0.3427,-0.788,-0.8201,-1.6209,-0.2793,보증,0,221019765,001221019765,-0.6065,-0.9548,-0.2681,0.6981,0,KPN059,19850831,0,0,미참여,-0.1786,0,-1.6444,0,-2.2622,HA5701,-1.2195,-0.8073,0,0,711006197,001711006197,000211058910,211058910,KPN007,,
KPN060,0,N,-1.0431,-1.392,-1.3423,-3.1209,-0.1743,미판매,0,N,-21.7554,-15.2911,-0.9231,-1.3632,-0.8495,-0.081,보증,0,221019766,001221019766,-1.5292,-0.5062,-0.8238,-0.6715,0,KPN060,19851102,0,0,미참여,-2.6961,0,-1.8053,0,-1.4721,HA5701,-2.0358,-1.1335,0,0,711006197,001711006197,001211059078,211059078,KPN007,,
KPN061,0,N,0.4536,-0.1172,0.1748,-0.6845,0.036,미판매,0,N,11.2022,2.6888,-0.4251,1.372,0.5316,0.1385,보증,0,221019768,001221019768,-0.468,0.2971,-0.0056,0.3029,0,KPN061,19850828,0,0,미참여,0.7862,0,-1.2231,0,1.5132,HA5701,1.341,-0.5073,0,0,711006720,001711006720,000211059056,211059056,KPN010,,
