,kpn,등록번호,근교계수,아비,조부,외조부,12개월체중 육종가,12개월체중 정확도,도체중 육종가,도체중 정확도,등심단면적 육종가,등심단면적 정확도,등지방두께 육종가,등지방두께 정확도,근내지방도 육종가,근내지방도 정확도,12개월체중 표준화육종가,도체중 표준화육종가,등심단면적 표준화육종가,등지방두께 표준화육종가,근내지방도 표준화육종가,체고 육종가,체고 정확도,십자부고 육종가,십자부고 정확도,체장 육종가,체장 정확도,흉심 육종가,흉심 정확도,흉폭 육종가,흉폭 정확도,요각폭 육종가,요각폭 정확도,곤폭 육종가,곤폭 정확도,좌골폭 육종가,좌골폭 정확도,고장 육종가,고장 정확도,흉위 육종가,흉위 정확도,체고 표준화육종가,십자부고 표준화육종가,체장 표준화육종가,흉심 표준화육종가,흉폭 표준화육종가,요각폭 표준화육종가,곤폭 표준화육종가,좌골폭 표준화육종가,고장 표준화육종가,흉위 표준화육종가,체고 육종가.1,체고 정확도.1,십자부고 육종가.1,십자부고 정확도.1,체장 육종가.1,체장 정확도.1,흉심 육종가.1,흉심 정확도.1,흉폭 육종가.1,흉폭 정확도.1,요각폭 육종가.1,요각폭 정확도.1,곤폭 육종가.1,곤폭 정확도.1,좌골폭 육종가.1,좌골폭 정확도.1,고장 육종가.1,고장 정확도.1,흉위 육종가.1,흉위 정확도.1,체고 표준화육종가.1,십자부고 표준화육종가.1,체장 표준화육종가.1,흉심 표준화육종가.1,흉폭 표준화육종가.1,요각폭 표준화육종가.1,곤폭 표준화육종가.1,좌골폭 표준화육종가.1,고장 표준화육종가.1,흉위 표준화육종가.1,안심중량 육종가,안심중량 정확도,등심중량 육종가,등심중량 정확도,채끝중량육종가,채끝중량정확도,목심중량 육종가,목심중량 정확도,앞다리중량 육종가,앞다리중량 정확도,우둔중량 육종가,우둔중량 정확도,설도중량 육종가,설도중량 정확도,사태중량 육종가,사태중량 정확도,양지중량 육종가,양지중량 정확도,갈비중량 육종가,갈비중량 정확도,안심중량 표준화육종가,등심중량 표준화육종가,채끝중량 표준화육종가,목심중량 표준화육종가,앞다리중량 표준화육종가,우둔중량 표준화육종가,설도중량 표준화육종가,사태중량 표준화육종가,양지중량 표준화육종가,갈비중량 표준화육종가,안심비율 육종가,안심비율 정확도,등심비율 육종가,등심비율 정확도,채끝비율 육종가,채끝비율 정확도,목심비율 육종가,목심비율 정확도,앞다리비율 육종가,앞다리비율 정확도,우둔비율 육종가,우둔비율 정확도,설도비율 육종가,설도비율 정확도,사태비율 육종가,사태비율 정확도,양지비율 육종가,양지비율 정확도,갈비비율 육종가,갈비비율 정확도,안심비율 표준화육종가,등심비율 표준화육종가,채끝비율 표준화육종가,목심비율 표준화육종가,앞다리비율  표준화육종가,우둔비율 표준화육종가,설도비율 표준화육종가,사태비율 표준화육종가,양지비율 표준화육종가,갈비비율 표준화육종가,STD_CHGR,MATNG_PRTS_PARTCPTN_AT,BRDR_TRB,BRDR_THWD,STD_CRWG,BRDR_LN_Y_AR,BRDR_MRSC,SLE_AT_NM,STD_BDLN,SLE_AT,BRDR_CRWG,BRDR_12_MTAG_WGHT,STD_LN_Y_AR,BRDR_WTHG,BRDR_BCKF_THCN,STD_MRSC,BRBL_SPCHCKN_CODE_NM,STD_CHWD,PPLT_REGIST_NO,PPLT_IDNTFC_NO,STD_12_MTAG_WGHT,STD_BCKF_THCN,BRDR_ISWD,BRDR_DPCH,STD_WTHG,BRBL_NO,BIRTH_DATETM,STD_ISWD,STD_TRB,MATNG_PRTS_PARTCPTN_AT_NM,BRDR_HPWD,STD_HHC,BRDR_BDLN,STD_THWD,BRDR_CHGR,BRBL_SPCHCKN_CODE,BRDR_HHC,BRDR_CHWD,STD_DPCH,STD_HPWD,SCDR_REGIST_NO,SCDR_PPLT_IDNTFC_NO,NRPL_PPLT_IDNTFC_NO,NRPL_REGIST_NO,SCDR_KPN,BEING_AT_NM,BEING_AT
104,KPN106,211200192,0.00%,,,,-0.5112,0.15,-1.2765,0.2,-1.3098,0.23,0.6635,0.24,-0.0499,0.07,-0.6569,-0.3996,-0.5529,0.3739,0.0489,0.06217682,0.0,0.05546301,0.0,0.0923,0.0,0.0364,0.0,0.0238,0.02,0.0141,0.0,0.0299,0.0,0.0331,0.0,0.0203,0.0,0.0689,0.0,0.0052,-0.0522,-0.2614,0.3017,-0.2138,-0.3906,-0.0931,-0.2125,-0.2287,0.0572,0.1955,0.23,0.1399,0.21,0.0902,0.19,0.2157,0.14,-1.2578,0.14,-0.0854,0.27,0.0683,0.16,-0.152,0.16,0.0043,0.15,-0.1211,0.18,0.0738,0.0328,0.0315,0.517,-1.3677,-0.1307,0.1696,-0.247,0.093,0.0676,-0.0603,0.17,-0.3993,0.21,-0.0984,0.2,-0.1523,0.15,-0.2461,0.19,-0.2725,0.19,-0.3452,0.19,-0.1199,0.18,-0.2348,0.16,-0.0178,0.18,-1.0862,-1.3569,-1.3138,-1.019,-1.1514,-1.0392,-1.1113,-1.0783,-1.0796,-1.2223,-0.0118,0.12,-0.0901,0.17,-0.0268,0.23,-0.0341,0.07,-0.0525,0.07,-0.0629,0.12,-0.0746,0.12,-0.0239,0.12,-0.0519,0.07,0.0268,0.02,-0.045,-0.9192,-0.7626,-0.3792,-0.5608,-0.2432,-0.43,-0.146,-0.1096,-0.1714,0,N,0.0043,0.0683,-0.3996,-1.3098,-0.0499,미판매,0,N,-1.2765,-0.5112,-0.5529,0.1955,0.6635,0.0489,보증,0,211200192,1211200192,-0.6569,0.3739,-0.152,0.2157,0,KPN106,19880802.0,0,0,미참여,-0.0854,0,0.0902,0,-0.1211,HA5701,0.1399,-1.2578,0,0,,,,,,,
105,KPN107,211200194,0.00%,,,,-25.4863,0.71,-24.7699,0.79,-3.1387,0.83,1.2849,0.84,-0.5524,0.62,-2.131,-1.481,-0.9268,0.7353,-0.4756,-0.31584847,0.75,-1.22817564,0.75,-2.2563,0.74,1.4894,0.69,-2.3799,0.72,-1.6795,0.69,-0.8914,0.71,-2.0074,0.72,-0.5471,0.7,-2.746,0.7,-0.2202,-0.7771,-1.3707,2.1398,-3.4073,-2.8357,-1.4153,-2.5117,-1.4389,-1.3247,-2.0967,0.81,-0.8995,0.79,-1.3023,0.75,0.123,0.63,-1.9548,0.64,-0.4734,0.86,-0.9466,0.69,-0.3605,0.7,-0.2633,0.66,-0.8965,0.73,-1.0183,-0.4893,-0.5956,0.3741,-2.2269,-0.3895,-0.97,-0.671,-0.2669,-0.233,-0.1966,0.68,-1.0837,0.78,-0.3102,0.76,-0.6759,0.58,-0.9578,0.73,-0.7824,0.72,-1.3523,0.74,-0.6833,0.71,-1.4975,0.65,-1.3095,0.74,-1.4698,-1.6424,-1.7184,-1.4865,-1.5567,-1.3956,-1.5447,-1.6934,-1.8076,-1.6474,-0.0101,0.57,-0.0446,0.67,-0.0356,0.62,-0.0842,0.4,-0.0758,0.53,-0.0412,0.59,-0.1074,0.56,-0.078,0.48,-0.1481,0.4,0.0968,0.43,-0.0184,-0.7729,-0.8698,-0.645,-0.6542,-0.1549,-0.5319,-0.5686,-0.51,0.0569,0,N,-0.2633,-0.9466,-1.481,-3.1387,-0.5524,미판매,0,N,-24.7699,-25.4863,-0.9268,-2.0967,1.2849,-0.4756,보증,0,211200194,114766069,-2.131,0.7353,-0.3605,0.123,0,KPN107,19880820.0,0,0,미참여,-0.4734,0,-1.3023,0,-0.8965,HA5701,-0.8995,-1.9548,0,0,,,,,,,
106,KPN108,221023982,0.00%,K201,,K057,0.9448,0.79,-5.9457,0.84,-1.5616,0.87,4.5714,0.87,-1.4998,0.78,-0.5709,-0.6145,-0.6044,2.6468,-1.4643,-1.08147156,0.83,-1.42039704,0.84,-0.8823,0.82,0.8426,0.78,0.3813,0.75,-0.1553,0.76,0.4051,0.76,-0.2116,0.79,0.0518,0.75,1.613,0.77,-0.6765,-0.8857,-0.7217,1.3215,0.2611,-0.6351,0.4455,-0.4883,-0.1616,0.8153,-1.3335,0.86,-1.9915,0.84,-1.9634,0.82,-0.5166,0.73,-0.2557,0.73,-1.4259,0.89,-1.188,0.77,0.3122,0.78,-0.2489,0.75,1.0004,0.8,-0.6547,-1.0379,-0.8933,-0.6122,-0.1324,-1.0247,-1.2411,0.6969,-0.2475,0.5025,-0.1062,0.75,0.1631,0.83,0.2072,0.81,-0.113,0.65,-0.0969,0.79,-0.6554,0.78,-0.2621,0.8,0.3152,0.77,0.245,0.71,1.0317,0.8,-1.2155,-1.1222,-0.7301,-0.9839,-1.0665,-1.3069,-1.0755,-0.6033,-0.803,-0.877,-0.0736,0.65,-0.162,0.73,0.0047,0.69,-0.1087,0.5,-0.1812,0.63,-0.3039,0.68,-0.2581,0.66,-0.0224,0.6,-0.1279,0.51,-0.0368,0.57,-1.0389,-1.1502,-0.3811,-0.7748,-1.0772,-1.2218,-0.9994,-0.1341,-0.426,-0.3787,0,N,-0.2489,-1.188,-0.6145,-1.5616,-1.4998,미판매,0,N,-5.9457,0.9448,-0.6044,-1.3335,4.5714,-1.4643,보증,0,221023982,1221023982,-0.5709,2.6468,0.3122,-0.5166,0,KPN108,19880422.0,0,0,미참여,-1.4259,0,-1.9634,0,1.0004,HA5701,-1.9915,-0.2557,0,0,711006336.0,1711006336.0,1221000768.0,221000768.0,K201,,
107,KPN109,221024866,0.00%,K133,,,-4.1885,0.62,-6.767,0.68,-1.3183,0.72,-0.4666,0.73,0.0208,0.62,-0.8739,-0.6523,-0.5546,-0.2835,0.1226,-1.21618688,0.69,-1.36973,0.69,-1.0344,0.68,-0.5924,0.63,-0.5247,0.61,-0.7173,0.62,-0.6863,0.63,-0.6774,0.65,-0.2621,0.62,-2.2041,0.62,-0.7568,-0.8571,-0.7935,-0.4939,-0.9426,-1.4465,-1.121,-1.0131,-0.8309,-1.0587,1.7922,0.72,1.3677,0.7,-1.5346,0.67,0.6637,0.6,-0.1406,0.61,0.7588,0.76,-0.4952,0.63,0.0031,0.64,-0.1765,0.62,2.0294,0.66,0.8344,0.6496,-0.7002,1.2078,0.0095,0.4323,-0.4631,0.0684,-0.1501,0.9015,0.0504,0.63,0.8583,0.69,0.0614,0.67,0.8951,0.56,0.8169,0.67,0.6373,0.66,0.9513,0.67,0.151,0.65,0.5068,0.6,0.9097,0.65,-0.7746,-0.8321,-1.0087,-0.0838,-0.5462,-0.4034,-0.5533,-0.7825,-0.6521,-0.9171,-0.0184,0.57,0.0079,0.63,-0.0379,0.57,0.1522,0.46,0.0862,0.56,0.0567,0.59,0.055,0.57,-0.037,0.52,-0.0229,0.47,-0.0304,0.5,-0.151,-0.6043,-0.8975,0.6088,-0.0045,0.2429,-0.0277,-0.2476,0.0107,-0.3581,0,N,-0.1765,-0.4952,-0.6523,-1.3183,0.0208,미판매,0,N,-6.767,-4.1885,-0.5546,1.7922,-0.4666,0.1226,보증,0,221024866,1221024866,-0.8739,-0.2835,0.0031,0.6637,0,KPN109,19880511.0,0,0,미참여,0.7588,0,-1.5346,0,2.0294,HA5701,1.3677,-0.1406,0,0,711006060.0,1711006060.0,211002511.0,211002511.0,K133,,
108,KPN110,221031069,0.00%,K217,,,-11.2496,0.06,-24.0389,0.08,-5.0575,0.1,0.3859,0.1,-0.1719,0.06,-1.2907,-1.4474,-1.319,0.2124,-0.0785,-0.27375823,0.06,-0.33568838,0.06,-0.3215,0.05,-0.5651,0.05,-0.4705,0.04,-0.3267,0.04,-0.5149,0.05,-0.7325,0.05,-0.3089,0.05,-1.9943,0.04,-0.1951,-0.2731,-0.4568,-0.4592,-0.8706,-0.8826,-0.875,-1.0752,-0.9307,-0.9556,-2.5024,0.59,-2.1838,0.56,-0.7137,0.52,-1.2191,0.41,-0.9588,0.42,-1.2912,0.65,-1.0596,0.46,-0.6791,0.47,-0.9789,0.43,-5.2868,0.49,-1.2115,-1.1345,-0.3305,-1.6953,-0.9991,-0.9349,-1.0969,-1.3186,-1.2294,-1.9353,-0.0324,0.05,-0.3877,0.09,-0.0821,0.07,-0.1248,0.07,-0.2435,0.08,-0.157,0.08,-0.3107,0.09,-0.1197,0.08,-0.2178,0.07,-0.673,0.08,-1.0078,-1.352,-1.2827,-0.9944,-1.15,-0.9585,-1.0965,-1.0781,-1.0698,-1.4379,0.0086,0.02,-0.0051,0.07,0.0003,0.28,0.0078,0.03,0.0011,0.09,0.0159,0.02,0.0096,0.03,0.0093,0.15,0.0199,0.01,-0.0199,0.03,0.2826,-0.6461,-0.4341,-0.1569,-0.3459,0.077,-0.1685,0.1139,0.1891,-0.3236,0,N,-0.9789,-1.0596,-1.4474,-5.0575,-0.1719,미판매,0,N,-24.0389,-11.2496,-1.319,-2.5024,0.3859,-0.0785,보증,0,221031069,1221031069,-1.2907,0.2124,-0.6791,-1.2191,0,KPN110,19880706.0,0,0,미참여,-1.2912,0,-0.7137,0,-5.2868,HA5701,-2.1838,-0.9588,0,0,711006568.0,1711006568.0,211107679.0,211107679.0,K217,,
109,KPN111,211198557,0.00%,,,,-13.5019,0.88,-24.7851,0.89,-5.4402,0.9,2.6808,0.9,-0.9945,0.84,-1.4236,-1.4817,-1.3973,1.5472,-0.937,-2.99365783,0.91,-2.84002805,0.92,-2.3509,0.9,-0.8334,0.89,-0.7724,0.84,-1.3561,0.86,-1.1585,0.86,-1.6109,0.89,-0.4817,0.85,-2.2453,0.87,-1.8162,-1.6875,-1.4153,-0.7986,-1.2716,-2.3688,-1.7988,-2.0649,-1.2994,-1.0789,-3.9321,0.88,-4.0804,0.87,-2.8406,0.84,-1.3085,0.75,-1.8337,0.76,-2.4801,0.91,-2.3445,0.8,-0.8888,0.8,-1.7383,0.78,-4.6093,0.82,-1.8926,-2.0873,-1.2883,-1.8331,-2.0776,-1.7278,-2.5397,-1.7451,-2.2508,-1.6726,-0.2335,0.78,-1.2516,0.86,-0.3362,0.84,-0.8845,0.68,-1.5582,0.83,-1.5588,0.82,-1.5631,0.84,-0.4467,0.81,-0.8863,0.75,0.4731,0.84,-1.5738,-1.7124,-1.7681,-1.6727,-1.8986,-1.9383,-1.6354,-1.4351,-1.4552,-1.0608,-0.053,0.69,-0.2657,0.77,-0.0882,0.72,-0.1939,0.52,-0.3553,0.67,-0.3842,0.72,-0.3439,0.7,-0.0993,0.64,-0.225,0.54,0.2051,0.61,-0.7074,-1.4835,-1.5071,-1.2265,-1.7755,-1.548,-1.2657,-0.7355,-0.83,0.4105,0,N,-1.7383,-2.3445,-1.4817,-5.4402,-0.9945,미판매,0,N,-24.7851,-13.5019,-1.3973,-3.9321,2.6808,-0.937,보증,0,211198557,150167578,-1.4236,1.5472,-0.8888,-1.3085,0,KPN111,19880420.0,0,0,미참여,-2.4801,0,-2.8406,0,-4.6093,HA5701,-4.0804,-1.8337,0,0,,,,,,,
110,KPN112,221026363,0.00%,K279,,,1.047,0.25,-8.3836,0.32,0.5598,0.36,-0.2508,0.37,-0.7622,0.18,-0.5649,-0.7267,-0.1707,-0.158,-0.6945,-0.14904398,0.22,-0.24496102,0.23,0.0292,0.21,-0.0357,0.18,-0.7323,0.18,-0.5005,0.18,-0.1836,0.19,-0.7375,0.2,-0.2827,0.18,-1.2245,0.18,-0.1207,-0.2218,-0.2912,0.2105,-1.2184,-1.1335,-0.3995,-1.0808,-0.875,-0.5777,0.2647,0.44,0.0539,0.41,0.5115,0.37,0.0408,0.25,-0.6072,0.26,-0.234,0.52,-0.857,0.31,-0.1647,0.31,-0.4383,0.28,-1.9038,0.34,0.1067,-0.0104,0.2212,0.2474,-0.5657,-0.2298,-0.8694,-0.2728,-0.5022,-0.6236,0.0909,0.29,0.2876,0.34,0.0674,0.33,0.1984,0.24,0.2091,0.31,0.3697,0.31,0.2729,0.32,0.0428,0.3,-0.2167,0.27,-1.2961,0.3,-0.6606,-1.0703,-0.9971,-0.7058,-0.8922,-0.5904,-0.8453,-0.9006,-1.0692,-1.643,0.0469,0.22,0.2263,0.28,0.0551,0.02,0.1079,0.14,0.1438,0.19,0.1736,0.23,0.1951,0.22,0.066,0.1,0.068,0.14,-0.0994,0.11,0.898,0.0975,0.2304,0.3737,0.2266,0.7175,0.4073,0.5575,0.3891,-0.5832,0,N,-0.4383,-0.857,-0.7267,0.5598,-0.7622,미판매,0,N,-8.3836,1.047,-0.1707,0.2647,-0.2508,-0.6945,보증,0,221026363,1221026363,-0.5649,-0.158,-0.1647,0.0408,0,KPN112,19880423.0,0,0,미참여,-0.234,0,0.5115,0,-1.9038,HA5701,0.0539,-0.6072,0,0,711006719.0,1711006719.0,211128322.0,211128322.0,K279,,
111,KPN113,221024347,0.00%,K118,,,-2.1166,0.21,-3.218,0.23,0.0734,0.27,-0.066,0.27,0.1034,0.19,-0.7516,-0.489,-0.2701,-0.0505,0.2089,0.13380259,0.25,0.08090167,0.25,-0.2176,0.24,0.0439,0.21,-0.4562,0.2,-0.2826,0.2,-0.1698,0.21,-0.3046,0.22,-0.1097,0.2,-0.7366,0.2,0.0478,-0.0378,-0.4078,0.3111,-0.8515,-0.819,-0.3797,-0.5931,-0.506,-0.3382,-0.8244,0.28,-0.4462,0.26,-0.3431,0.24,-0.1771,0.19,-0.2669,0.19,0.4885,0.31,-0.493,0.21,0.1984,0.21,-0.0645,0.2,-0.2777,0.23,-0.4121,-0.2616,-0.1636,-0.0887,-0.1462,0.252,-0.4606,0.4655,0.0004,0.0069,0.0167,0.22,0.617,0.26,0.1171,0.25,0.1239,0.19,0.2247,0.24,0.0696,0.24,0.0722,0.25,0.0706,0.23,0.1548,0.21,0.4428,0.24,-0.8694,-0.9328,-0.9022,-0.7724,-0.8834,-0.8002,-0.9317,-0.8703,-0.855,-1.0708,-0.0059,0.16,0.1146,0.21,0.0203,0.2,0.0108,0.11,0.0209,0.13,-0.0194,0.17,-0.0407,0.17,-0.0088,0.04,-0.0049,0.11,0.0329,0.11,0.0498,-0.2615,-0.1919,-0.1412,-0.2664,-0.0664,-0.3247,-0.0279,0.0859,-0.1516,0,N,-0.0645,-0.493,-0.489,0.0734,0.1034,미판매,0,N,-3.218,-2.1166,-0.2701,-0.8244,-0.066,0.2089,보증,0,221024347,1221024347,-0.7516,-0.0505,0.1984,-0.1771,0,KPN113,19870715.0,0,0,미참여,0.4885,0,-0.3431,0,-0.2777,HA5701,-0.4462,-0.2669,0,0,711006076.0,1711006076.0,211123753.0,211123753.0,K118,,
112,KPN114,221027223,0.00%,K131,,K031,11.2657,0.58,5.6247,0.66,1.7448,0.71,0.6396,0.72,-0.9081,0.49,0.0382,-0.0819,0.0715,0.3599,-0.8468,0.94602817,0.61,0.82260668,0.61,0.934,0.59,0.8771,0.54,0.2763,0.52,0.05,0.52,0.7364,0.54,0.6237,0.56,0.1496,0.52,1.9225,0.53,0.532,0.3811,0.1362,1.3652,0.1216,-0.3388,0.9209,0.453,0.0471,0.9673,2.5242,0.74,1.3453,0.71,2.2575,0.68,-0.0099,0.56,-1.1149,0.57,1.4128,0.79,-0.2336,0.61,-0.669,0.62,0.5986,0.59,1.1718,0.65,1.1831,0.6384,1.0075,0.1692,-1.1915,0.8684,-0.1693,-1.2982,0.8924,0.5689,0.1179,0.58,0.7219,0.67,0.2049,0.65,0.8625,0.49,0.9965,0.62,0.6454,0.61,1.2153,0.63,0.3787,0.6,0.4821,0.55,1.3576,0.62,-0.5846,-0.8891,-0.7346,-0.1129,-0.4439,-0.3977,-0.4398,-0.534,-0.6663,-0.7697,-0.0204,0.47,-0.1291,0.56,-0.0228,0.5,0.0785,0.32,0.0592,0.43,-0.007,0.48,0.0291,0.46,-0.0314,0.38,-0.1373,0.33,-0.1611,0.33,-0.1842,-1.0446,-0.7143,0.2178,-0.1129,-0.0161,-0.108,-0.2044,-0.4649,-0.7843,0,N,0.5986,-0.2336,-0.0819,1.7448,-0.9081,미판매,0,N,5.6247,11.2657,0.0715,2.5242,0.6396,-0.8468,보증,0,221027223,150167586,0.0382,0.3599,-0.669,-0.0099,0,KPN114,19880517.0,0,0,미참여,1.4128,0,2.2575,0,1.1718,HA5701,1.3453,-1.1149,0,0,711005908.0,1711005908.0,221004627.0,221004627.0,K131,,
113,KPN115,211200196,0.00%,,,,-15.3404,0.17,-25.8965,0.21,-2.8202,0.24,0.7511,0.25,-0.2327,0.09,-1.5321,-1.5329,-0.8617,0.4248,-0.142,-2.08104849,0.19,-1.91778374,0.2,-1.9569,0.18,-1.2251,0.16,-1.047,0.15,-0.629,0.15,-1.0122,0.16,-1.0593,0.17,-0.4623,0.16,-3.2217,0.16,-1.2723,-1.1666,-1.2292,-1.2942,-1.6365,-1.3191,-1.5888,-1.4434,-1.2581,-1.5582,-0.5063,0.55,-0.9962,0.53,-2.2259,0.49,-0.641,0.38,-1.0739,0.39,-0.15,0.62,-1.4224,0.43,-0.0947,0.44,-0.7777,0.41,-3.004,0.46,-0.2606,-0.5379,-1.0115,-0.804,-1.141,-0.1738,-1.5043,-0.1305,-0.9587,-1.0502,-0.0342,0.19,-0.1307,0.23,-0.0085,0.21,-0.0684,0.16,-0.2183,0.21,-0.1082,0.2,-0.2946,0.21,-0.1181,0.2,-0.3118,0.18,-0.675,0.2,-1.0127,-1.2448,-1.1422,-0.9441,-1.1356,-0.9244,-1.0895,-1.0764,-1.124,-1.4386,0.009,0.13,0.0711,0.18,0.0227,0.23,0.0228,0.07,0.0138,0.08,0.0342,0.13,0.0219,0.13,0.0113,0.12,0.0099,0.07,-0.0173,0.01,0.289,-0.4011,-0.1625,-0.0772,-0.2949,0.1513,-0.1303,0.1296,0.1475,-0.3152,0,N,-0.7777,-1.4224,-1.5329,-2.8202,-0.2327,미판매,0,N,-25.8965,-15.3404,-0.8617,-0.5063,0.7511,-0.142,보증,0,211200196,1211200196,-1.5321,0.4248,-0.0947,-0.641,0,KPN115,19880826.0,0,0,미참여,-0.15,0,-2.2259,0,-3.004,HA5701,-0.9962,-1.0739,0,0,,,,,,,
114,KPN116,221024884,0.00%,K133,,K030,-1.8969,0.64,0.4417,0.66,1.3083,0.67,-0.0537,0.67,-0.0289,0.59,-0.7387,-0.3205,-0.0177,-0.0433,0.0708,0.92133927,0.75,0.64780194,0.75,0.2798,0.74,0.526,0.7,-0.2782,0.68,-0.0971,0.69,0.0419,0.69,-0.2695,0.72,0.0211,0.69,0.2497,0.69,0.5172,0.2824,-0.1728,0.921,-0.6151,-0.5511,-0.0759,-0.5535,-0.2269,0.146,1.7181,0.65,1.3328,0.63,-1.1694,0.62,-0.2653,0.56,0.2803,0.57,0.245,0.68,-0.144,0.59,0.0186,0.59,-0.4386,0.58,1.16,0.6,0.7991,0.6321,-0.5358,-0.2247,0.5284,0.0896,-0.0687,0.1,-0.5026,0.5644,0.0585,0.6,2.2522,0.64,0.6317,0.63,0.7284,0.55,1.3885,0.62,1.3719,0.62,1.798,0.63,0.5489,0.61,1.3765,0.58,2.8977,0.62,-0.752,-0.2506,0.0805,-0.2326,-0.2207,0.1101,-0.189,-0.3481,-0.1506,-0.263,-0.0647,0.54,0.1396,0.59,0.0736,0.53,-0.0135,0.47,0.0587,0.54,0.1078,0.56,0.0438,0.55,-0.0416,0.51,0.044,0.47,0.0906,0.5,-0.8949,-0.1811,0.4553,-0.2697,-0.1146,0.4502,-0.0625,-0.2843,0.2893,0.0368,0,N,-0.4386,-0.144,-0.3205,1.3083,-0.0289,미판매,0,N,0.4417,-1.8969,-0.0177,1.7181,-0.0537,0.0708,보증,0,221024884,1221024884,-0.7387,-0.0433,0.0186,-0.2653,0,KPN116,19880510.0,0,0,미참여,0.245,0,-1.1694,0,1.16,HA5701,1.3328,0.2803,0,0,711006060.0,1711006060.0,221011627.0,221011627.0,K133,,
115,KPN117,211199859,0.00%,,,,-5.8913,0.69,-12.8667,0.69,-2.0372,0.71,2.3952,0.71,-0.0749,0.63,-0.9744,-0.9331,-0.7016,1.3811,0.0228,-1.27885032,0.76,-1.11013496,0.76,-1.2276,0.75,-0.8976,0.71,-0.4751,0.67,-0.5041,0.68,-0.5257,0.69,-0.236,0.72,-0.3925,0.68,-1.9757,0.69,-0.7941,-0.7105,-0.8848,-0.88,-0.8766,-1.1388,-0.8905,-0.5157,-1.1092,-0.9465,-0.5412,0.74,-1.3008,0.71,-0.6736,0.68,-0.3282,0.56,-0.4422,0.57,-0.7959,0.79,-1.1583,0.62,0.1989,0.62,-1.2278,0.59,-4.4902,0.65,-0.2772,-0.6909,-0.3125,-0.3216,-0.3622,-0.6046,-1.2077,0.4666,-1.5642,-1.6264,-0.124,0.63,-0.1949,0.69,-0.1379,0.68,0.2985,0.55,0.1284,0.67,-0.0171,0.66,-0.1474,0.67,-0.1266,0.65,0.3547,0.6,0.3571,0.66,-1.2655,-1.2716,-1.3892,-0.6164,-0.9382,-0.8607,-1.0262,-1.0856,-0.7398,-1.099,-0.038,0.55,-0.0596,0.62,-0.0369,0.55,0.0754,0.43,0.0489,0.54,-0.0151,0.57,-0.0495,0.56,-0.0349,0.5,0.04,0.43,0.0304,0.48,-0.4655,-0.8212,-0.8855,0.2012,-0.154,-0.0488,-0.3521,-0.2314,0.2727,-0.1597,0,N,-1.2278,-1.1583,-0.9331,-2.0372,-0.0749,미판매,0,N,-12.8667,-5.8913,-0.7016,-0.5412,2.3952,0.0228,보증,0,211199859,150167594,-0.9744,1.3811,0.1989,-0.3282,0,KPN117,19880505.0,0,0,미참여,-0.7959,0,-0.6736,0,-4.4902,HA5701,-1.3008,-0.4422,0,0,,,,,,,
116,KPN118,221027234,0.00%,K140,,,8.7678,0.57,-2.1517,0.64,-5.9735,0.69,2.6271,0.7,-0.533,0.59,-0.1092,-0.4399,-1.5063,1.516,-0.4553,1.06434834,0.6,0.98191541,0.61,0.8114,0.59,1.1367,0.53,-0.1137,0.51,0.6095,0.51,0.6777,0.53,0.5905,0.55,0.1754,0.51,1.8733,0.52,0.6025,0.4711,0.0783,1.6936,-0.3965,0.4689,0.8367,0.4155,0.1021,0.9431,1.5044,0.69,1.6482,0.67,-0.5093,0.64,0.5371,0.54,0.7043,0.54,0.0114,0.75,0.1755,0.58,-0.0795,0.59,0.4902,0.56,0.1347,0.61,0.6973,0.7905,-0.2385,1.0127,1.051,-0.0662,0.29,-0.0996,0.7465,0.1668,-0.1134,0.58,-0.828,0.66,-0.2742,0.64,-0.0118,0.49,-0.2392,0.62,-0.5088,0.61,-0.2431,0.63,-0.1922,0.6,-0.0903,0.55,0.9778,0.61,-1.2356,-1.5357,-1.6495,-0.8935,-1.1475,-1.2044,-1.0674,-1.1573,-0.9963,-0.8947,-0.0461,0.48,-0.3267,0.57,-0.1091,0.5,-0.0604,0.34,-0.1467,0.46,-0.1929,0.51,-0.1367,0.49,-0.0762,0.42,-0.1354,0.35,0.0531,0.39,-0.5962,-1.6797,-1.7613,-0.5183,-0.9386,-0.7712,-0.6227,-0.5542,-0.4571,-0.0855,0,N,0.4902,0.1755,-0.4399,-5.9735,-0.533,미판매,0,N,-2.1517,8.7678,-1.5063,1.5044,2.6271,-0.4553,보증,0,221027234,1221027234,-0.1092,1.516,-0.0795,0.5371,0,KPN118,19880720.0,0,0,미참여,0.0114,0,-0.5093,0,0.1347,HA5701,1.6482,0.7043,0,0,711005035.0,1711005035.0,211125348.0,211125348.0,K140,,
